Dispatch_ID,GPU_ID,Grid_Size,Workgroup_Size,LDS_Per_Workgroup,Scratch_Per_Workitem,Arch_VGPR,Accum_VGPR,SGPR,Wave_Size,Kernel_Name,Correlation_ID,Kernel_ID,SQ_INSTS_VALU_MFMA_MOPS_F32,SQ_INSTS_VALU_MFMA_MOPS_F64,SQ_INSTS_VALU_MFMA_MOPS_I8,SQ_INSTS_VALU_MUL_F16,SQ_INSTS_VALU_MUL_F32,SQ_INSTS_VALU_MUL_F64,SQ_INSTS_VALU_TRANS_F16,SQ_INSTS_VALU_TRANS_F32,TCP_TOTAL_CACHE_ACCESSES_sum,Kernel_ID_1,GRBM_GUI_ACTIVE,SQ_INSTS_VALU_ADD_F16,SQ_INSTS_VALU_ADD_F32,SQ_INSTS_VALU_ADD_F64,SQ_INSTS_VALU_FMA_F16,SQ_INSTS_VALU_FMA_F32,SQ_INSTS_VALU_FMA_F64,SQ_INSTS_VALU_MFMA_MOPS_BF16,SQ_INSTS_VALU_MFMA_MOPS_F16,TCC_EA_RDREQ_32B_sum,TCC_EA_RDREQ_sum,TCC_EA_WRREQ_64B_sum,TCC_EA_WRREQ_sum,TCP_TCC_ATOMIC_WITHOUT_RET_REQ_sum,TCP_TCC_ATOMIC_WITH_RET_REQ_sum,TCP_TCC_READ_REQ_sum,TCP_TCC_WRITE_REQ_sum,Kernel_ID_2,SQ_INSTS_VALU_TRANS_F64,SQ_LDS_BANK_CONFLICT,SQ_LDS_IDX_ACTIVE,SQ_WAVES,Start_Timestamp,End_Timestamp
0,0,256,256,0,0,12,4,16,64,__omp_dm_init_kernel,1,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2066.0,10,28463.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,2048.0,2048.0,0.0,0.0,0.0,2066.0,1,0.0,0.0,0.0,4.0,770066477127843.6,770066477135097.0
1,0,112640,256,0,0,36,4,64,64,__omp_offloading_8116438_7d0004e4__QMm_weno_standalonePs_initialize_weno_x_l285,2,7,0.0,0.0,0.0,0.0,7040.0,0.0,0.0,7040.0,48988960.0,15,1979135.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10026490.0,9797794.0,9797794.0,0.0,0.0,10600958.0,9797792.0,8,0.0,0.0,9797792.0,1760.0,770067460106547.6,770067461386615.0
2,0,112640,256,0,0,36,4,64,64,__omp_offloading_8116438_7d0004e4__QMm_weno_standalonePs_initialize_weno_y_l302,3,8,0.0,0.0,0.0,0.0,7040.0,0.0,0.0,7040.0,97977920.0,8,7872797.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38082638.0,9797955.0,9797955.0,0.0,0.0,75826819.0,9797792.0,15,0.0,0.0,9797792.0,1760.0,770067461627683.6,770067466547524.6
3,0,112640,256,0,0,36,4,64,64,__omp_offloading_8116438_7d0004e4__QMm_weno_standalonePs_initialize_weno_z_l319,4,6,0.0,0.0,0.0,0.0,7040.0,0.0,0.0,7040.0,97977920.0,13,13901397.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71579083.0,9798237.0,9798237.0,0.0,0.0,78382336.0,9797792.0,7,0.0,0.0,9797792.0,1760.0,770067466780007.0,770067475250767.4
4,0,112640,256,0,0,48,0,80,64,__omp_offloading_8116438_7d0004e4__QMm_weno_standalonePs_order1_copy_x_l338,5,13,0.0,0.0,0.0,0.0,7040.0,0.0,0.0,7040.0,66696896.0,4,3208239.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10163917.0,19056279.0,19056279.0,0.0,0.0,10690801.0,19056256.0,6,0.0,0.0,4764064.0,1760.0,770067475558983.6,770067477581246.4
5,0,112640,256,0,0,48,0,80,64,__omp_offloading_8116438_7d0004e4__QMm_weno_standalonePs_order1_copy_y_l358,6,9,0.0,0.0,0.0,0.0,7040.0,0.0,0.0,7040.0,114337536.0,12,10771573.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48172311.0,19056756.0,19056756.0,0.0,0.0,73670526.0,19056256.0,9,0.0,0.0,4764064.0,1760.0,770067477788395.0,770067484438282.0
6,0,112640,256,0,0,48,0,80,64,__omp_offloading_8116438_7d0004e4__QMm_weno_standalonePs_order1_copy_z_l378,7,5,0.0,0.0,0.0,0.0,7040.0,0.0,0.0,7040.0,114337536.0,6,14402379.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71646735.0,19057975.0,19057975.0,0.0,0.0,76225024.0,19056256.0,5,0.0,0.0,4764064.0,1760.0,770067484683191.4,770067493528249.0
7,0,112640,256,2048,0,116,4,96,64,__omp_offloading_8116438_7d0004e4__QMm_weno_standalonePs_weno5_kernel_x_l685,8,11,0.0,0.0,0.0,0.0,5280.0,33562048.0,0.0,5280.0,437305120.0,5,6782679.0,0.0,0.0,12730432.0,0.0,0.0,108787328.0,0.0,0.0,0.0,10103812.0,19554238.0,20594471.0,0.0,0.0,85112709.0,21348400.0,13,13887744.0,0.0,63087584.0,1760.0,770067493837052.4,770067498438703.4
8,0,112640,256,2048,0,116,4,96,64,__omp_offloading_8116438_7d0004e4__QMm_weno_standalonePs_weno5_kernel_x_l685,9,11,0.0,0.0,0.0,0.0,5280.0,33562048.0,0.0,5280.0,437305120.0,5,6691657.0,0.0,0.0,12730432.0,0.0,0.0,108787328.0,0.0,0.0,0.0,10095740.0,19543769.0,20563073.0,0.0,0.0,85006884.0,21348400.0,13,13887744.0,0.0,63087584.0,1760.0,770067498697693.0,770067503277530.0
9,0,112640,256,2048,0,116,4,96,64,__omp_offloading_8116438_7d0004e4__QMm_weno_standalonePs_weno5_kernel_x_l685,10,11,0.0,0.0,0.0,0.0,5280.0,33562048.0,0.0,5280.0,437305120.0,5,6683593.0,0.0,0.0,12730432.0,0.0,0.0,108787328.0,0.0,0.0,0.0,10104121.0,19540963.0,20576627.0,0.0,0.0,85012699.0,21348400.0,13,13887744.0,0.0,63087584.0,1760.0,770067503519826.4,770067508061636.0
10,0,112640,256,2048,0,116,4,96,64,__omp_offloading_8116438_7d0004e4__QMm_weno_standalonePs_weno5_kernel_x_l685,11,11,0.0,0.0,0.0,0.0,5280.0,33562048.0,0.0,5280.0,437305120.0,5,6681569.0,0.0,0.0,12730432.0,0.0,0.0,108787328.0,0.0,0.0,0.0,10096898.0,19558356.0,20586438.0,0.0,0.0,85024676.0,21348400.0,13,13887744.0,0.0,63087584.0,1760.0,770067508307985.6,770067512874649.4
11,0,112640,256,2048,0,116,4,96,64,__omp_offloading_8116438_7d0004e4__QMm_weno_standalonePs_weno5_kernel_x_l685,12,11,0.0,0.0,0.0,0.0,5280.0,33562048.0,0.0,5280.0,437305120.0,5,6774111.0,0.0,0.0,12730432.0,0.0,0.0,108787328.0,0.0,0.0,0.0,10097770.0,19556732.0,20588754.0,0.0,0.0,85107810.0,21348400.0,13,13887744.0,0.0,63087584.0,1760.0,770067513121052.0,770067517724303.4
12,0,112640,256,2048,0,116,4,96,64,__omp_offloading_8116438_7d0004e4__QMm_weno_standalonePs_weno5_kernel_x_l685,13,11,0.0,0.0,0.0,0.0,5280.0,33562048.0,0.0,5280.0,437305120.0,5,6820853.0,0.0,0.0,12730432.0,0.0,0.0,108787328.0,0.0,0.0,0.0,10116480.0,19545890.0,20606776.0,0.0,0.0,85132121.0,21348400.0,13,13887744.0,0.0,63087584.0,1760.0,770067517982860.6,770067522568191.4
13,0,112640,256,2048,0,116,4,96,64,__omp_offloading_8116438_7d0004e4__QMm_weno_standalonePs_weno5_kernel_x_l685,14,11,0.0,0.0,0.0,0.0,5280.0,33562048.0,0.0,5280.0,437305120.0,5,6755287.0,0.0,0.0,12730432.0,0.0,0.0,108787328.0,0.0,0.0,0.0,10113912.0,19542032.0,20595765.0,0.0,0.0,84954014.0,21348400.0,13,13887744.0,0.0,63087584.0,1760.0,770067522817297.6,770067527385987.6
14,0,112640,256,2048,0,116,4,96,64,__omp_offloading_8116438_7d0004e4__QMm_weno_standalonePs_weno5_kernel_x_l685,15,11,0.0,0.0,0.0,0.0,5280.0,33562048.0,0.0,5280.0,437305120.0,5,6621005.0,0.0,0.0,12730432.0,0.0,0.0,108787328.0,0.0,0.0,0.0,10088099.0,19562953.0,20576479.0,0.0,0.0,84998926.0,21348400.0,13,13887744.0,0.0,63087584.0,1760.0,770067527632336.6,770067532153346.6
15,0,112640,256,2048,0,116,4,96,64,__omp_offloading_8116438_7d0004e4__QMm_weno_standalonePs_weno5_kernel_x_l685,16,11,0.0,0.0,0.0,0.0,5280.0,33562048.0,0.0,5280.0,437305120.0,5,6765108.0,0.0,0.0,12730432.0,0.0,0.0,108787328.0,0.0,0.0,0.0,10103853.0,19545649.0,20584124.0,0.0,0.0,85056052.0,21348400.0,13,13887744.0,0.0,63087584.0,1760.0,770067532400015.6,770067536972813.0
16,0,112640,256,2048,0,116,4,96,64,__omp_offloading_8116438_7d0004e4__QMm_weno_standalonePs_weno5_kernel_x_l685,17,11,0.0,0.0,0.0,0.0,5280.0,33562048.0,0.0,5280.0,437305120.0,5,6720191.0,0.0,0.0,12730432.0,0.0,0.0,108787328.0,0.0,0.0,0.0,10106957.0,19541413.0,20581352.0,0.0,0.0,85153107.0,21348400.0,13,13887744.0,0.0,63087584.0,1760.0,770067537218949.0,770067541764225.6
17,0,112640,256,2048,0,116,4,96,64,__omp_offloading_8116438_7d0004e4__QMm_weno_standalonePs_weno5_kernel_x_l685,18,11,0.0,0.0,0.0,0.0,5280.0,33562048.0,0.0,5280.0,437305120.0,5,6866879.0,0.0,0.0,12730432.0,0.0,0.0,108787328.0,0.0,0.0,0.0,10112330.0,19538848.0,20588106.0,0.0,0.0,85110109.0,21348400.0,13,13887744.0,0.0,63087584.0,1760.0,770067542008388.4,770067546581559.0
18,0,112640,256,2048,0,116,4,96,64,__omp_offloading_8116438_7d0004e4__QMm_weno_standalonePs_weno5_kernel_x_l685,19,11,0.0,0.0,0.0,0.0,5280.0,33562048.0,0.0,5280.0,437305120.0,5,6796931.0,0.0,0.0,12730432.0,0.0,0.0,108787328.0,0.0,0.0,0.0,10109934.0,19545263.0,20593252.0,0.0,0.0,85051619.0,21348400.0,13,13887744.0,0.0,63087584.0,1760.0,770067546827215.0,770067551410305.6
19,0,112640,256,2048,0,116,4,96,64,__omp_offloading_8116438_7d0004e4__QMm_weno_standalonePs_weno5_kernel_x_l685,20,11,0.0,0.0,0.0,0.0,5280.0,33562048.0,0.0,5280.0,437305120.0,5,6715073.0,0.0,0.0,12730432.0,0.0,0.0,108787328.0,0.0,0.0,0.0,10120499.0,19536003.0,20601348.0,0.0,0.0,84954407.0,21348400.0,13,13887744.0,0.0,63087584.0,1760.0,770067551655481.6,770067556237025.6
20,0,112640,256,2048,0,116,4,96,64,__omp_offloading_8116438_7d0004e4__QMm_weno_standalonePs_weno5_kernel_x_l685,21,11,0.0,0.0,0.0,0.0,5280.0,33562048.0,0.0,5280.0,437305120.0,5,6736729.0,0.0,0.0,12730432.0,0.0,0.0,108787328.0,0.0,0.0,0.0,10111446.0,19547251.0,20597971.0,0.0,0.0,84934841.0,21348400.0,13,13887744.0,0.0,63087584.0,1760.0,770067556482308.4,770067561056225.4
21,0,112640,256,2048,0,116,4,96,64,__omp_offloading_8116438_7d0004e4__QMm_weno_standalonePs_weno5_kernel_x_l685,22,11,0.0,0.0,0.0,0.0,5280.0,33562048.0,0.0,5280.0,437305120.0,5,6722467.0,0.0,0.0,12730432.0,0.0,0.0,108787328.0,0.0,0.0,0.0,10101497.0,19555637.0,20593498.0,0.0,0.0,85047276.0,21348400.0,13,13887744.0,0.0,63087584.0,1760.0,770067561301454.6,770067565876545.0
22,0,112640,256,2048,0,116,4,96,64,__omp_offloading_8116438_7d0004e4__QMm_weno_standalonePs_weno5_kernel_x_l685,23,11,0.0,0.0,0.0,0.0,5280.0,33562048.0,0.0,5280.0,437305120.0,5,6677943.0,0.0,0.0,12730432.0,0.0,0.0,108787328.0,0.0,0.0,0.0,10113569.0,19538458.0,20591293.0,0.0,0.0,84922920.0,21348400.0,13,13887744.0,0.0,63087584.0,1760.0,770067566121507.6,770067570679478.4
23,0,112640,256,2048,0,116,4,96,64,__omp_offloading_8116438_7d0004e4__QMm_weno_standalonePs_weno5_kernel_x_l685,24,11,0.0,0.0,0.0,0.0,5280.0,33562048.0,0.0,5280.0,437305120.0,5,6768875.0,0.0,0.0,12730432.0,0.0,0.0,108787328.0,0.0,0.0,0.0,10104582.0,19547099.0,20586049.0,0.0,0.0,85117337.0,21348400.0,13,13887744.0,0.0,63087584.0,1760.0,770067570925027.6,770067575515905.0
24,0,112640,256,2048,0,116,4,96,64,__omp_offloading_8116438_7d0004e4__QMm_weno_standalonePs_weno5_kernel_x_l685,25,11,0.0,0.0,0.0,0.0,5280.0,33562048.0,0.0,5280.0,437305120.0,5,6736751.0,0.0,0.0,12730432.0,0.0,0.0,108787328.0,0.0,0.0,0.0,10105580.0,19554053.0,20596845.0,0.0,0.0,84955244.0,21348400.0,13,13887744.0,0.0,63087584.0,1760.0,770067575761560.6,770067580305931.0
25,0,112640,256,2048,0,116,4,96,64,__omp_offloading_8116438_7d0004e4__QMm_weno_standalonePs_weno5_kernel_x_l685,26,11,0.0,0.0,0.0,0.0,5280.0,33562048.0,0.0,5280.0,437305120.0,5,6691601.0,0.0,0.0,12730432.0,0.0,0.0,108787328.0,0.0,0.0,0.0,10108330.0,19545204.0,20590401.0,0.0,0.0,85056486.0,21348400.0,13,13887744.0,0.0,63087584.0,1760.0,770067580551039.4,770067585110609.4
26,0,112640,256,2048,0,116,4,96,64,__omp_offloading_8116438_7d0004e4__QMm_weno_standalonePs_weno5_kernel_x_l685,27,11,0.0,0.0,0.0,0.0,5280.0,33562048.0,0.0,5280.0,437305120.0,5,6718864.0,0.0,0.0,12730432.0,0.0,0.0,108787328.0,0.0,0.0,0.0,10095709.0,19552078.0,20574009.0,0.0,0.0,85038336.0,21348400.0,13,13887744.0,0.0,63087584.0,1760.0,770067585356318.6,770067589891035.4
27,0,112640,256,2048,0,116,4,96,64,__omp_offloading_8116438_7d0004e4__QMm_weno_standalonePs_weno5_kernel_x_l685,28,11,0.0,0.0,0.0,0.0,5280.0,33562048.0,0.0,5280.0,437305120.0,5,6731173.0,0.0,0.0,12730432.0,0.0,0.0,108787328.0,0.0,0.0,0.0,10100126.0,19557485.0,20592633.0,0.0,0.0,85074312.0,21348400.0,13,13887744.0,0.0,63087584.0,1760.0,770067590137048.0,770067594706645.0
28,0,112640,256,2048,0,116,4,96,64,__omp_offloading_8116438_7d0004e4__QMm_weno_standalonePs_weno5_kernel_x_l685,29,11,0.0,0.0,0.0,0.0,5280.0,33562048.0,0.0,5280.0,437305120.0,5,6720479.0,0.0,0.0,12730432.0,0.0,0.0,108787328.0,0.0,0.0,0.0,10109509.0,19542715.0,20589334.0,0.0,0.0,84974550.0,21348400.0,13,13887744.0,0.0,63087584.0,1760.0,770067594951767.0,770067599514750.6
29,0,112640,256,2048,0,116,4,96,64,__omp_offloading_8116438_7d0004e4__QMm_weno_standalonePs_weno5_kernel_x_l685,30,11,0.0,0.0,0.0,0.0,5280.0,33562048.0,0.0,5280.0,437305120.0,5,6665777.0,0.0,0.0,12730432.0,0.0,0.0,108787328.0,0.0,0.0,0.0,10097826.0,19551866.0,20579366.0,0.0,0.0,84979564.0,21348400.0,13,13887744.0,0.0,63087584.0,1760.0,770067599759180.4,770067604307657.4
30,0,112640,256,2048,0,116,4,96,64,__omp_offloading_8116438_7d0004e4__QMm_weno_standalonePs_weno5_kernel_x_l685,31,11,0.0,0.0,0.0,0.0,5280.0,33562048.0,0.0,5280.0,437305120.0,5,6653981.0,0.0,0.0,12730432.0,0.0,0.0,108787328.0,0.0,0.0,0.0,10107768.0,19548909.0,20594641.0,0.0,0.0,84912171.0,21348400.0,13,13887744.0,0.0,63087584.0,1760.0,770067604553313.0,770067609109577.4
31,0,112640,256,2048,0,116,4,96,64,__omp_offloading_8116438_7d0004e4__QMm_weno_standalonePs_weno5_kernel_x_l685,32,11,0.0,0.0,0.0,0.0,5280.0,33562048.0,0.0,5280.0,437305120.0,5,6685099.0,0.0,0.0,12730432.0,0.0,0.0,108787328.0,0.0,0.0,0.0,10103759.0,19552158.0,20592268.0,0.0,0.0,85054986.0,21348400.0,13,13887744.0,0.0,63087584.0,1760.0,770067609358059.6,770067613906163.4
