Dispatch_ID,Kernel_Name,GPU_ID,Grid_Size,Workgroup_Size,LDS_Per_Workgroup,Scratch_Per_Workitem,Arch_VGPR,Accum_VGPR,SGPR,wave_size,obj,SQ_INSTS_VALU_ADD_F16,SQ_INSTS_VALU_MUL_F16,SQ_INSTS_VALU_FMA_F16,SQ_INSTS_VALU_TRANS_F16,SQ_INSTS_VALU_ADD_F32,SQ_INSTS_VALU_MUL_F32,SQ_INSTS_VALU_FMA_F32,SQ_INSTS_VALU_TRANS_F32,TCP_TCC_READ_REQ_sum,TCP_TOTAL_CACHE_ACCESSES_sum,TCP_TCC_WRITE_REQ_sum,TCP_TCC_ATOMIC_WITH_RET_REQ_sum,TCC_EA_RDREQ_32B_sum,TCC_EA_RDREQ_sum,TCC_EA_WRREQ_64B_sum,TCC_EA_WRREQ_sum,wave_size_1,obj_1,SQ_INSTS_VALU_ADD_F64,SQ_INSTS_VALU_MUL_F64,SQ_INSTS_VALU_FMA_F64,SQ_INSTS_VALU_TRANS_F64,SQ_INSTS_VALU_MFMA_MOPS_F16,SQ_INSTS_VALU_MFMA_MOPS_BF16,SQ_INSTS_VALU_MFMA_MOPS_F32,SQ_INSTS_VALU_MFMA_MOPS_F64,TCP_TCC_ATOMIC_WITHOUT_RET_REQ_sum,wave_size_2,obj_2,SQ_LDS_IDX_ACTIVE,SQ_LDS_BANK_CONFLICT,Start_Timestamp,End_Timestamp
45,s_run_weno5_reconstruction$m_weno_standalone_$ck_L1722_271.kd,4,28160,256,0,68,4,132,112,64,0x7fffe0921a80,0,0,0,0,0,880,0,880,47988013.0,218159936.0,21348400.0,0.0,0.0,9771385.0,19184273.0,19394679.0,64,0x7fffe0921a80,9258496,32404736,63652160,5786560,0,0,0,0,0.0,64,0x7fffe0921a80,0,0,769532745689187,769532749406348
46,s_run_weno5_reconstruction$m_weno_standalone_$ck_L1722_271.kd,4,28160,256,0,68,4,132,112,64,0x7fffe0921a80,0,0,0,0,0,880,0,880,48228088.0,218159936.0,21348400.0,0.0,0.0,9768390.0,19183665.0,19387095.0,64,0x7fffe0921a80,9258496,32404736,63652160,5786560,0,0,0,0,0.0,64,0x7fffe0921a80,0,0,769532749427629,769532753131670
47,s_run_weno5_reconstruction$m_weno_standalone_$ck_L1722_271.kd,4,28160,256,0,68,4,132,112,64,0x7fffe0921a80,0,0,0,0,0,880,0,880,48051051.0,218159936.0,21348400.0,0.0,0.0,9763716.0,19181948.0,19375179.0,64,0x7fffe0921a80,9258496,32404736,63652160,5786560,0,0,0,0,0.0,64,0x7fffe0921a80,0,0,769532753151990,769532756876831
48,s_run_weno5_reconstruction$m_weno_standalone_$ck_L1722_271.kd,4,28160,256,0,68,4,132,112,64,0x7fffe0921a80,0,0,0,0,0,880,0,880,48146190.0,218159936.0,21348400.0,0.0,0.0,9760497.0,19191599.0,19383700.0,64,0x7fffe0921a80,9258496,32404736,63652160,5786560,0,0,0,0,0.0,64,0x7fffe0921a80,0,0,769532756903231,769532760606793
49,s_run_weno5_reconstruction$m_weno_standalone_$ck_L1722_271.kd,4,28160,256,0,68,4,132,112,64,0x7fffe0921a80,0,0,0,0,0,880,0,880,47932088.0,218159936.0,21348400.0,0.0,0.0,9765337.0,19172394.0,19364695.0,64,0x7fffe0921a80,9258496,32404736,63652160,5786560,0,0,0,0,0.0,64,0x7fffe0921a80,0,0,769532760627593,769532764353234
50,s_run_weno5_reconstruction$m_weno_standalone_$ck_L1722_271.kd,4,28160,256,0,68,4,132,112,64,0x7fffe0921a80,0,0,0,0,0,880,0,880,48201288.0,218159936.0,21348400.0,0.0,0.0,9755048.0,19195771.0,19378886.0,64,0x7fffe0921a80,9258496,32404736,63652160,5786560,0,0,0,0,0.0,64,0x7fffe0921a80,0,0,769532764374834,769532768070235
51,s_run_weno5_reconstruction$m_weno_standalone_$ck_L1722_271.kd,4,28160,256,0,68,4,132,112,64,0x7fffe0921a80,0,0,0,0,0,880,0,880,47996922.0,218159936.0,21348400.0,0.0,0.0,9772016.0,19180875.0,19391142.0,64,0x7fffe0921a80,9258496,32404736,63652160,5786560,0,0,0,0,0.0,64,0x7fffe0921a80,0,0,769532768091675,769532771808357
52,s_run_weno5_reconstruction$m_weno_standalone_$ck_L1722_271.kd,4,28160,256,0,68,4,132,112,64,0x7fffe0921a80,0,0,0,0,0,880,0,880,48221311.0,218159936.0,21348400.0,0.0,0.0,9769615.0,19191934.0,19402019.0,64,0x7fffe0921a80,9258496,32404736,63652160,5786560,0,0,0,0,0.0,64,0x7fffe0921a80,0,0,769532771828837,769532775545358
53,s_run_weno5_reconstruction$m_weno_standalone_$ck_L1722_271.kd,4,28160,256,0,68,4,132,112,64,0x7fffe0921a80,0,0,0,0,0,880,0,880,48024632.0,218159936.0,21348400.0,0.0,0.0,9769597.0,19179254.0,19383588.0,64,0x7fffe0921a80,9258496,32404736,63652160,5786560,0,0,0,0,0.0,64,0x7fffe0921a80,0,0,769532775566379,769532779276019
54,s_run_weno5_reconstruction$m_weno_standalone_$ck_L1722_271.kd,4,28160,256,0,68,4,132,112,64,0x7fffe0921a80,0,0,0,0,0,880,0,880,48249384.0,218159936.0,21348400.0,0.0,0.0,9770397.0,19186577.0,19394945.0,64,0x7fffe0921a80,9258496,32404736,63652160,5786560,0,0,0,0,0.0,64,0x7fffe0921a80,0,0,769532779296979,769532783002620
55,s_run_weno5_reconstruction$m_weno_standalone_$ck_L1722_271.kd,4,28160,256,0,68,4,132,112,64,0x7fffe0921a80,0,0,0,0,0,880,0,880,48053339.0,218159936.0,21348400.0,0.0,0.0,9773796.0,19194852.0,19414731.0,64,0x7fffe0921a80,9258496,32404736,63652160,5786560,0,0,0,0,0.0,64,0x7fffe0921a80,0,0,769532783023900,769532786723941
56,s_run_weno5_reconstruction$m_weno_standalone_$ck_L1722_271.kd,4,28160,256,0,68,4,132,112,64,0x7fffe0921a80,0,0,0,0,0,880,0,880,48328613.0,218159936.0,21348400.0,0.0,0.0,9768429.0,19188598.0,19394797.0,64,0x7fffe0921a80,9258496,32404736,63652160,5786560,0,0,0,0,0.0,64,0x7fffe0921a80,0,0,769532786745061,769532790461582
57,s_run_weno5_reconstruction$m_weno_standalone_$ck_L1722_271.kd,4,28160,256,0,68,4,132,112,64,0x7fffe0921a80,0,0,0,0,0,880,0,880,47959945.0,218159936.0,21348400.0,0.0,0.0,9762530.0,19194132.0,19391240.0,64,0x7fffe0921a80,9258496,32404736,63652160,5786560,0,0,0,0,0.0,64,0x7fffe0921a80,0,0,769532790482382,769532794196983
58,s_run_weno5_reconstruction$m_weno_standalone_$ck_L1722_271.kd,4,28160,256,0,68,4,132,112,64,0x7fffe0921a80,0,0,0,0,0,880,0,880,48238478.0,218159936.0,21348400.0,0.0,0.0,9759120.0,19179848.0,19363579.0,64,0x7fffe0921a80,9258496,32404736,63652160,5786560,0,0,0,0,0.0,64,0x7fffe0921a80,0,0,769532794217623,769532797930144
59,s_run_weno5_reconstruction$m_weno_standalone_$ck_L1722_271.kd,4,28160,256,0,68,4,132,112,64,0x7fffe0921a80,0,0,0,0,0,880,0,880,48144363.0,218159936.0,21348400.0,0.0,0.0,9761987.0,19176313.0,19363627.0,64,0x7fffe0921a80,9258496,32404736,63652160,5786560,0,0,0,0,0.0,64,0x7fffe0921a80,0,0,769532797951585,769532801672586
60,s_run_weno5_reconstruction$m_weno_standalone_$ck_L1722_271.kd,4,28160,256,0,68,4,132,112,64,0x7fffe0921a80,0,0,0,0,0,880,0,880,48227784.0,218159936.0,21348400.0,0.0,0.0,9763825.0,19195672.0,19396294.0,64,0x7fffe0921a80,9258496,32404736,63652160,5786560,0,0,0,0,0.0,64,0x7fffe0921a80,0,0,769532801693706,769532805411667
61,s_run_weno5_reconstruction$m_weno_standalone_$ck_L1722_271.kd,4,28160,256,0,68,4,132,112,64,0x7fffe0921a80,0,0,0,0,0,880,0,880,48013679.0,218159936.0,21348400.0,0.0,0.0,9767666.0,19205994.0,19419723.0,64,0x7fffe0921a80,9258496,32404736,63652160,5786560,0,0,0,0,0.0,64,0x7fffe0921a80,0,0,769532805433267,769532809144668
62,s_run_weno5_reconstruction$m_weno_standalone_$ck_L1722_271.kd,4,28160,256,0,68,4,132,112,64,0x7fffe0921a80,0,0,0,0,0,880,0,880,48170641.0,218159936.0,21348400.0,0.0,0.0,9763998.0,19178782.0,19371124.0,64,0x7fffe0921a80,9258496,32404736,63652160,5786560,0,0,0,0,0.0,64,0x7fffe0921a80,0,0,769532809166268,769532812887429
63,s_run_weno5_reconstruction$m_weno_standalone_$ck_L1722_271.kd,4,28160,256,0,68,4,132,112,64,0x7fffe0921a80,0,0,0,0,0,880,0,880,48051290.0,218159936.0,21348400.0,0.0,0.0,9774333.0,19184925.0,19401418.0,64,0x7fffe0921a80,9258496,32404736,63652160,5786560,0,0,0,0,0.0,64,0x7fffe0921a80,0,0,769532812909350,769532816635951
64,s_run_weno5_reconstruction$m_weno_standalone_$ck_L1722_271.kd,4,28160,256,0,68,4,132,112,64,0x7fffe0921a80,0,0,0,0,0,880,0,880,48268814.0,218159936.0,21348400.0,0.0,0.0,9767853.0,19197214.0,19406770.0,64,0x7fffe0921a80,9258496,32404736,63652160,5786560,0,0,0,0,0.0,64,0x7fffe0921a80,0,0,769532816656911,769532820380792
65,s_run_weno5_reconstruction$m_weno_standalone_$ck_L1722_271.kd,4,28160,256,0,68,4,132,112,64,0x7fffe0921a80,0,0,0,0,0,880,0,880,47962073.0,218159936.0,21348400.0,0.0,0.0,9768223.0,19167781.0,19363832.0,64,0x7fffe0921a80,9258496,32404736,63652160,5786560,0,0,0,0,0.0,64,0x7fffe0921a80,0,0,769532820402552,769532824120033
66,s_run_weno5_reconstruction$m_weno_standalone_$ck_L1722_271.kd,4,28160,256,0,68,4,132,112,64,0x7fffe0921a80,0,0,0,0,0,880,0,880,48216201.0,218159936.0,21348400.0,0.0,0.0,9764465.0,19192101.0,19392593.0,64,0x7fffe0921a80,9258496,32404736,63652160,5786560,0,0,0,0,0.0,64,0x7fffe0921a80,0,0,769532824141314,769532827850314
67,s_run_weno5_reconstruction$m_weno_standalone_$ck_L1722_271.kd,4,28160,256,0,68,4,132,112,64,0x7fffe0921a80,0,0,0,0,0,880,0,880,48017960.0,218159936.0,21348400.0,0.0,0.0,9764890.0,19198348.0,19402453.0,64,0x7fffe0921a80,9258496,32404736,63652160,5786560,0,0,0,0,0.0,64,0x7fffe0921a80,0,0,769532827871595,769532831590196
68,__amd_rocclr_copyBuffer.kd,4,512,512,0,0,20,4,32,64,0x7fffe1275dc0,0,0,0,0,0,0,0,0,3.0,6.0,3.0,0.0,0.0,27.0,2.0,3.0,64,0x7fffe1275dc0,0,0,0,0,0,0,0,0,0.0,64,0x7fffe1275dc0,0,0,769533153954731,769533153960011
69,__amd_rocclr_copyBuffer.kd,4,512,512,0,0,20,4,32,64,0x7fffe1275dc0,0,0,0,0,0,0,0,0,3.0,8.0,3.0,0.0,0.0,27.0,0.0,0.0,64,0x7fffe1275dc0,0,0,0,0,0,0,0,0,0.0,64,0x7fffe1275dc0,0,0,769533153984011,769533153986891
70,__amd_rocclr_copyBuffer.kd,4,512,512,0,0,20,4,32,64,0x7fffe1275dc0,0,0,0,0,0,0,0,0,3.0,6.0,3.0,0.0,0.0,27.0,0.0,0.0,64,0x7fffe1275dc0,0,0,0,0,0,0,0,0,0.0,64,0x7fffe1275dc0,0,0,769533154004171,769533154007211
71,__amd_rocclr_copyBuffer.kd,4,512,512,0,0,20,4,32,64,0x7fffe1275dc0,0,0,0,0,0,0,0,0,3.0,8.0,3.0,0.0,0.0,27.0,0.0,0.0,64,0x7fffe1275dc0,0,0,0,0,0,0,0,0,0.0,64,0x7fffe1275dc0,0,0,769533154023851,769533154026891
72,__amd_rocclr_copyBuffer.kd,4,512,512,0,0,20,4,32,64,0x7fffe1275dc0,0,0,0,0,0,0,0,0,2.0,20.0,10.0,0.0,0.0,26.0,0.0,0.0,64,0x7fffe1275dc0,0,0,0,0,0,0,0,0,0.0,64,0x7fffe1275dc0,0,0,769533154045451,769533154049771
73,__amd_rocclr_copyBuffer.kd,4,512,512,0,0,20,4,32,64,0x7fffe1275dc0,0,0,0,0,0,0,0,0,2.0,20.0,10.0,0.0,0.0,26.0,0.0,0.0,64,0x7fffe1275dc0,0,0,0,0,0,0,0,0,0.0,64,0x7fffe1275dc0,0,0,769533154067212,769533154072172
74,__amd_rocclr_copyBuffer.kd,4,512,512,0,0,20,4,32,64,0x7fffe1275dc0,0,0,0,0,0,0,0,0,2.0,20.0,10.0,0.0,0.0,26.0,0.0,0.0,64,0x7fffe1275dc0,0,0,0,0,0,0,0,0,0.0,64,0x7fffe1275dc0,0,0,769533154088332,769533154093132
75,__amd_rocclr_copyBuffer.kd,4,512,512,0,0,20,4,32,64,0x7fffe1275dc0,0,0,0,0,0,0,0,0,2.0,20.0,10.0,0.0,0.0,26.0,0.0,0.0,64,0x7fffe1275dc0,0,0,0,0,0,0,0,0,0.0,64,0x7fffe1275dc0,0,0,769533154110252,769533154114732
76,__amd_rocclr_copyBuffer.kd,4,512,512,0,0,20,4,32,64,0x7fffe1275dc0,0,0,0,0,0,0,0,0,2.0,4.0,2.0,0.0,0.0,26.0,0.0,0.0,64,0x7fffe1275dc0,0,0,0,0,0,0,0,0,0.0,64,0x7fffe1275dc0,0,0,769533154132972,769533154134732
77,__amd_rocclr_copyBuffer.kd,4,512,512,0,0,20,4,32,64,0x7fffe1275dc0,0,0,0,0,0,0,0,0,2.0,4.0,2.0,0.0,0.0,26.0,0.0,0.0,64,0x7fffe1275dc0,0,0,0,0,0,0,0,0,0.0,64,0x7fffe1275dc0,0,0,769533154151693,769533154154893
78,__amd_rocclr_copyBuffer.kd,4,512,512,0,0,20,4,32,64,0x7fffe1275dc0,0,0,0,0,0,0,0,0,2.0,5.0,2.0,0.0,0.0,26.0,0.0,0.0,64,0x7fffe1275dc0,0,0,0,0,0,0,0,0,0.0,64,0x7fffe1275dc0,0,0,769533154171373,769533154173133
79,__amd_rocclr_copyBuffer.kd,4,512,512,0,0,20,4,32,64,0x7fffe1275dc0,0,0,0,0,0,0,0,0,2.0,5.0,2.0,0.0,0.0,26.0,0.0,0.0,64,0x7fffe1275dc0,0,0,0,0,0,0,0,0,0.0,64,0x7fffe1275dc0,0,0,769533154190733,769533154192653
80,__amd_rocclr_copyBuffer.kd,4,512,512,0,0,20,4,32,64,0x7fffe1275dc0,0,0,0,0,0,0,0,0,2.0,20.0,10.0,0.0,0.0,26.0,0.0,0.0,64,0x7fffe1275dc0,0,0,0,0,0,0,0,0,0.0,64,0x7fffe1275dc0,0,0,769533154209613,769533154213293
81,__amd_rocclr_copyBuffer.kd,4,512,512,0,0,20,4,32,64,0x7fffe1275dc0,0,0,0,0,0,0,0,0,2.0,20.0,10.0,0.0,0.0,26.0,0.0,0.0,64,0x7fffe1275dc0,0,0,0,0,0,0,0,0,0.0,64,0x7fffe1275dc0,0,0,769533154228973,769533154233454
82,__amd_rocclr_copyBuffer.kd,4,512,512,0,0,20,4,32,64,0x7fffe1275dc0,0,0,0,0,0,0,0,0,2.0,20.0,10.0,0.0,0.0,26.0,0.0,0.0,64,0x7fffe1275dc0,0,0,0,0,0,0,0,0,0.0,64,0x7fffe1275dc0,0,0,769533154251054,769533154254574
83,__amd_rocclr_copyBuffer.kd,4,512,512,0,0,20,4,32,64,0x7fffe1275dc0,0,0,0,0,0,0,0,0,2.0,20.0,10.0,0.0,0.0,26.0,0.0,0.0,64,0x7fffe1275dc0,0,0,0,0,0,0,0,0,0.0,64,0x7fffe1275dc0,0,0,769533154270894,769533154276014
84,__amd_rocclr_copyBuffer.kd,4,512,512,0,0,20,4,32,64,0x7fffe1275dc0,0,0,0,0,0,0,0,0,2.0,20.0,10.0,0.0,0.0,26.0,0.0,0.0,64,0x7fffe1275dc0,0,0,0,0,0,0,0,0,0.0,64,0x7fffe1275dc0,0,0,769533154292494,769533154297294
85,__amd_rocclr_copyBuffer.kd,4,512,512,0,0,20,4,32,64,0x7fffe1275dc0,0,0,0,0,0,0,0,0,2.0,4.0,2.0,0.0,0.0,26.0,0.0,0.0,64,0x7fffe1275dc0,0,0,0,0,0,0,0,0,0.0,64,0x7fffe1275dc0,0,0,769533154314094,769533154316334
86,__amd_rocclr_copyBuffer.kd,4,512,512,0,0,20,4,32,64,0x7fffe1275dc0,0,0,0,0,0,0,0,0,2.0,5.0,2.0,0.0,0.0,26.0,0.0,0.0,64,0x7fffe1275dc0,0,0,0,0,0,0,0,0,0.0,64,0x7fffe1275dc0,0,0,769533154331375,769533154334575
